,Unnamed: 0,Unnamed: 0.1,env_delta,env_max,env_mean,env_std,time
0,0.0,0.0,11.2738866285,-28.7540586279,-34.8337070995,2.68793072324,1.47446712018
1,1.0,1.0,9.14282858669,-30.8851166696,-35.9857365761,2.08564986879,5.20126984127
2,2.0,2.0,6.34499561695,-33.6829496394,-39.0934689716,2.40047176982,9.2589569161
3,6.0,6.0,7.37281796276,-32.6551272936,-37.336373705,1.94473400215,16.8867120181
4,7.0,7.0,3.8899379913,-36.138007265,-40.6052590876,1.78819048434,21.0721088435
5,8.0,8.0,9.62344102619,-30.4045042301,-36.5418655254,3.01525617767,23.95138322
6,9.0,9.0,10.8267174436,-29.2012278127,-37.8960831935,4.05261808803,27.9568253968
7,10.0,10.0,17.6402700205,-22.3876752358,-29.1423563087,3.43319518141,32.5775963719
8,11.0,11.0,11.8664853087,-28.1614599477,-31.8969630392,1.64531763245,36.5830385488
9,12.0,12.0,8.22331089803,-31.8046343583,-35.4689345574,1.58665940209,40.9135600907
10,13.0,13.0,5.56053819105,-34.4674070653,-36.7242338341,0.867639860924,44.9770521542
11,,,,,,,13.1708238851
