,env_delta,env_max,env_mean,env_std,time
0,20.1797661399,-24.1566164129,-39.8955063958,4.86006394447,2.96054421769
1,21.2220787146,-23.1143038381,-41.9398555493,4.6804558334,10.3212698413
2,19.1698960463,-25.1664865064,-41.1859224902,4.73756446694,17.6703854875
3,16.9606729939,-27.3757095589,-42.4170757574,3.84728327657,25.4722902494
4,15.1112392172,-29.2251433356,-42.6568679645,2.75745471909,33.3670748299
5,20.438161309,-23.8982212437,-42.2417163811,4.47982470132,40.8439002268
6,19.5802737822,-24.7561087706,-41.7869367027,4.70829579842,47.4325623583
7,20.7484135206,-23.5879690322,-42.7379166282,4.50396670241,54.8861678005
8,17.816351522,-26.5200310308,-43.2375170828,3.78752061126,62.3571882086
9,13.7233118174,-30.6130707353,-43.2006686169,3.25968751339,70.1648979592
10,16.5309750004,-27.8054075523,-43.2446199666,3.60758185004,76.2659410431
11,20.2601358893,-24.0762466634,-42.2243304176,4.62671336887,83.4583219955
