,Unnamed: 0,env_delta,env_max,env_mean,env_std,time
0,0,13.8081090762,-27.8022840773,-31.6587399982,2.87599480544,2.65287981859
1,1,11.223214572,-30.3871785815,-32.9339930207,1.95296378173,8.45206349206
2,2,11.1690137767,-30.4413793768,-33.1621175672,2.66400231487,13.6359183673
3,3,11.3110492854,-30.299343868,-33.3096185855,2.32453760945,19.3538321995
4,4,16.5220692097,-25.0883239438,-32.3449939093,5.43241212781,25.187845805
5,5,13.9693628592,-27.6410302942,-31.1033026448,2.88840788121,31.5501133787
6,6,12.9417434094,-28.668649744,-33.3817437164,3.18746931622,36.6004535147
7,7,10.4236944468,-31.1866987067,-33.3212065915,1.77360038906,41.7436734694
8,8,16.0691852599,-25.5412078935,-29.6181045331,4.03027356095,47.3919274376
9,9,10.7510761062,-30.8593170473,-33.3189934316,2.11178198311,52.5119274376
10,10,18.9103102387,-22.7000829148,-28.5522381736,4.64007930905,57.4287528345
11,11,15.4345711199,-26.1758220336,-27.8119852445,1.39790039597,62.7170975057
