,Unnamed: 0,Unnamed: 0.1,env_delta,env_max,env_mean,env_std,time
0,0,0.0,9.67520518902,-33.0825289808,-38.1407199186,2.23779833887,1.64861678005
1,1,1.0,8.43478288948,-34.3229512803,-40.9364449318,1.96629116602,8.11537414966
2,2,3.0,5.24728331448,-37.5104508554,-41.7336563327,1.96094801574,30.6967800454
3,3,5.0,9.447301677,-33.3104324928,-39.2403917304,2.75191421704,36.2927891156
4,4,6.0,11.4241244498,-31.33360972,-36.0042467645,1.92083884675,40.9832199546
5,5,7.0,13.8342736239,-28.9234605459,-33.0795855308,2.24348379489,46.2135147392
6,6,8.0,4.03435633156,-38.7233778383,-41.6929064241,0.968580464211,51.8269387755
7,7,9.0,4.72150886296,-38.0362253069,-40.3378368819,1.16433388877,62.3223582766
8,8,,,,,,24.5386097091
9,9,,,,,,19.2248961711
10,10,,,,,,14.1500012191
11,11,,,,,,56.898528109
