,Unnamed: 0,env_delta,env_max,env_mean,env_std,time
0,0,9.39058916696,-25.7933011323,-27.1959695341,1.05791370711,2.91990929705
1,1,9.89465693861,-25.2892333607,-25.9911520954,0.570604552302,12.4749206349
2,2,8.98172769895,-26.2021626003,-26.847215903,0.416511224895,22.1344217687
3,3,12.6129698368,-22.5709204625,-23.5507875248,0.636344707871,31.8751927438
4,4,14.5329866168,-20.6509036825,-21.7423077659,0.733873352276,42.5215419501
5,5,14.998503642,-20.1853866573,-20.7449450646,0.411329843371,52.5641723356
6,6,12.4011540999,-22.7827361994,-23.57981936,0.472674439547,64.4876190476
7,7,13.2716178941,-21.9122724052,-23.7045073351,1.10283826057,76.1788662132
8,8,13.231437858,-21.9524524413,-23.8265249475,1.01472765435,85.8325623583
9,9,11.1984749996,-23.9854152997,-25.8316709027,0.745607119692,95.3411337868
10,10,13.7973290377,-21.3865612616,-23.7566598553,1.0471071531,104.716190476
11,11,15.7644519158,-19.4194383835,-22.1984380786,1.45761593918,114.160907029
