,Unnamed: 0,env_delta,env_max,env_mean,env_std,time
0,0.0,4.094373821093903,-40.623297274167854,-44.23381145261518,0.7922110612015697,2.4613151927437644
1,1.0,3.1602206993107838,-41.55745039595097,-44.51945824418831,0.4575391811412767,7.459410430839004
2,2.0,3.052760619377864,-41.664910475883886,-44.59483630216518,0.33834548679389786,54.909387755102046
3,,,,,,12.36559139784946
4,,,,,,17.076292882744493
5,,,,,,22.022529441884277
6,,,,,,26.556579621095743
7,,,,,,31.326164874551964
8,,,,,,36.27240143369175
9,,,,,,41.04198668714797
10,,,,,,45.634920634920626
11,,,,,,50.168970814132095
