,Unnamed: 0,env_delta,env_max,env_mean,env_std,time
0,0,17.612666750564863,-23.0529302948351,-33.18420392782485,3.9679551298700537,0.12770975056689346
3,3,14.873501477119026,-25.79209556828094,-33.42146157967605,2.5084626242468127,9.851065759637187
4,4,11.90426042598494,-28.761336619415026,-35.58692153078917,2.6055574577694847,25.72770975056689
5,5,14.433313719790915,-26.23228332560905,-35.60187227201168,2.9248197624410777,38.20843537414966
6,6,14.734557140881748,-25.93103990451821,-34.173195635770895,3.0016138076098065,49.48752834467121
8,8,17.89452681543275,-22.77107022996721,-32.26934312099213,4.356304893695426,57.32426303854874
9,9,14.426098358813874,-26.23949868658609,-34.87785097413185,3.4488755495850683,65.37578231292518
10,10,14.94503075419786,-25.720566291202108,-34.41181285127999,4.2371970181914005,74.37351473922901
11,11,19.318246961096364,-21.3473500843036,-36.001217739427204,5.9544366893197465,83.45832199546486
12,12,23.447376883292108,-17.218220162107848,-38.237012258880384,5.656559559861469,88.0907029478458
13,13,22.105009775097304,-18.560587270302662,-36.78262463912979,6.208392939639047,94.49360544217687
14,14,19.853110487985738,-20.812486557414218,-35.311954374835096,6.172917273920504,101.27383219954649
