,Unnamed: 0,Unnamed: 0.1,env_delta,env_max,env_mean,env_std,time
0,0,0.0,8.99221084331,-33.3663844567,-35.7729323705,1.3000406653,1.700861678
1,1,1.0,4.52080584956,-37.8377894505,-40.8022536494,1.29080555851,7.8947845805
2,2,2.0,8.17651295465,-34.1820823454,-37.9592200547,1.84861916246,14.3963718821
3,3,3.0,2.86762084283,-39.4909744572,-41.3167222967,0.751694520122,19.8298412698
4,4,5.0,10.5373598289,-31.8212354711,-34.5729470067,1.30669346576,29.9014965986
5,5,6.0,8.8405160531,-33.5180792469,-36.882738329,2.55333845501,35.0621315193
6,6,7.0,12.3108327883,-30.0477625117,-32.6093584041,1.43254350616,40.4665759637
7,7,8.0,10.3289299695,-32.0296653305,-35.0292514772,2.09593329083,45.8071655329
8,8,9.0,6.23225541574,-36.1263398843,-38.3611624786,1.22388720577,50.822675737
9,9,,,,,,55.5130487081
10,10,,,,,,60.3452726371
11,11,,,,,,24.7363843984
