,Unnamed: 0,env_delta,env_max,env_mean,env_std,time
0,1.0,13.0892450412,-27.1295520623,-36.9850953125,3.13843150988,17.885170068
1,2.0,16.4687421006,-23.7500550028,-31.6624468993,3.38867423827,31.9970975057
2,4.0,9.02404007267,-31.1947570307,-36.5293472261,2.20762649681,43.4735600907
3,6.0,17.522417013,-22.6963800904,-33.1154712248,3.64405859428,55.0777324263
4,7.0,16.4118369968,-23.8069601066,-31.2588699474,3.31765471723,65.2654875283
5,8.0,20.5887565478,-19.6300405556,-32.1445924665,5.16716450982,76.3762358277
6,10.0,13.8731380408,-26.3456590626,-35.782168472,3.24472957386,83.5976417234
7,11.0,18.5918221575,-21.6269749459,-36.1712393018,4.65783623358,91.730430839
8,12.0,17.5440359987,-22.6747611047,-33.5557012632,4.43727525272,99.7413151927
9,,,,,,0.0969936361641
