,env_delta,env_max,env_mean,env_std,time
0,22.0017402377,-17.9075147611,-29.6504659595,5.79537281005,0.0696598639456
1,24.8542019308,-15.0550530681,-24.0539803832,3.86384213822,8.27210884354
2,15.4506010751,-24.4586539238,-35.0816301972,3.43372943693,9.40988662132
3,14.1841433644,-25.7251116345,-30.2726324882,2.17327651728,16.4397278912
4,5.07685805673,-34.8323969421,-40.8692766183,1.83167079078,18.2857142857
5,16.3537564348,-23.5554985641,-30.4991898661,3.4022603731,26.7087528345
6,16.7468040001,-23.1624509988,-31.9211064143,4.0403644154,35.7529251701
7,9.64163669511,-30.2676183038,-38.0291743749,3.53391423059,36.5017687075
8,19.1771746589,-20.73208034,-30.9495551525,4.63625622986,46.3238095238
9,20.4190111862,-19.4902438127,-31.9951252578,5.66350510179,53.3362358277
10,21.3609637786,-18.5482912202,-32.450531994,7.01698789398,60.3138321995
11,22.8647405418,-17.044514457,-33.8697842019,6.55573760856,65.6021768707
