,Unnamed: 0,env_delta,env_max,env_mean,env_std,time
0,0,17.392043068562298,-23.447376576936854,-26.525282839685392,1.3565216045848911,3.332063492063492
1,1,21.20019280353089,-19.639226841968263,-25.04506683777861,2.7960121436700662,12.097596371882085
2,2,21.922783075048308,-18.916636570450844,-27.641938038336267,3.609302336014772,21.008253968253968
3,3,16.233056535794038,-24.606363109705114,-30.248339534489265,2.56300564614797,30.243990929705216
4,4,18.290999365268977,-22.54842028023018,-29.38510947874285,2.416926206255861,39.74675736961451
5,5,18.083222323273485,-22.75619732222567,-26.786415061765258,1.8273178771557048,47.583492063492066
6,6,20.679804716745032,-20.159614928754124,-23.02268797236839,1.3994785506741674,56.52897959183674
7,7,20.251621906515588,-20.587797738983568,-26.99553236748015,2.6048833085817464,65.25968253968254
8,8,20.140296704437848,-20.699122941061308,-25.963223341054373,3.0351231894254096,73.33442176870749
9,9,23.364352625817414,-17.475067019681738,-25.56346203170552,4.0896974323163535,81.14793650793649
10,10,24.06428628999896,-16.7751333555002,-22.992259943840608,2.6983059791070687,88.70022675736963
11,11,18.706672525217886,-22.132747120281273,-25.429529050559378,1.8512096896944152,95.21342403628118
