,env_delta,env_max,env_mean,env_std,time
0,16.3489997353,-24.9359706057,-32.1410988599,3.11328694522,0.087074829932
1,14.1967477684,-27.0882225726,-36.1867531256,2.5789597605,0.917188208617
2,12.2467165696,-29.0382537714,-37.2004719164,2.91999618983,1.50349206349
3,15.0842655877,-26.2007047533,-34.0436206739,2.96760524934,20.0446258503
4,11.5841623739,-29.7008079671,-38.50605029,2.86726564551,21.5307029478
5,14.7152898431,-26.5696804979,-33.6954189632,2.87818651881,35.9270748299
6,10.2555704369,-31.0293999041,-39.0656371547,2.43480132422,37.3783219955
7,7.77830969635,-33.5066606446,-41.0427671498,2.48484854184,38.3245351474
8,13.7656466209,-27.5193237201,-35.3890241131,2.85301950562,49.2727437642
9,11.3881586125,-29.8968117285,-38.409881449,2.47110045443,50.0680272109
10,13.1840613238,-28.1009090171,-33.1283291755,2.59003255506,60.3312471655
11,18.0333027618,-23.2516675792,-30.9147616397,3.41381577013,67.8429024943
12,21.2170927229,-20.0678776181,-34.683939557,5.39604182517,76.1962811791
13,24.4570892292,-16.8278811118,-35.8037233768,6.67023004534,82.3379591837
14,24.1518207626,-17.1331495784,-34.4160556191,5.78677459567,92.589569161
15,24.1433067703,-17.1416635707,-33.800593388,5.99730926322,100.786213152
