,env_delta,env_max,env_mean,env_std,time
0,17.1729075867,-25.559473009,-33.2472428607,3.73728384681,2.47292517007
1,12.7966948112,-29.9356857845,-36.669402819,3.57398194999,8.37659863946
2,12.1281566271,-30.6042239687,-35.4626049235,3.05754535986,14.8201360544
3,9.4284419171,-33.3039386787,-37.1503411649,2.29493953963,21.5597278912
4,7.71406804823,-35.0183125475,-37.8608124606,1.4802088437,27.9336054422
5,6.55899351812,-36.1733870777,-38.7661040098,1.67100905099,33.9011337868
6,8.64132805671,-34.0910525391,-39.1007941248,2.30647259042,39.7119274376
7,11.2396200969,-31.4927604989,-36.3614889349,3.00570219813,45.5517460317
8,7.64498162854,-35.0873989672,-38.6140334503,2.11994629095,51.4147845805
9,8.38821734298,-34.3441632528,-38.6329008903,2.08015304802,57.5448526077
10,12.1016744753,-30.6307061205,-35.3008885283,3.13913671426,63.2743764172
11,11.0193741066,-31.7130064892,-36.685880008,3.01119535334,69.0097052154
