,Unnamed: 0,env_delta,env_max,env_mean,env_std,time
0,0.0,16.642945323645502,-28.047592324982567,-44.19495030034853,2.773631161090196,1.8982312925170068
1,1.0,18.400448486458725,-26.290089162169327,-44.011191781244,3.134158648546648,5.81079365079365
2,2.0,16.330158631677733,-28.360379016950326,-44.28343883802125,2.617513447674781,9.584036281179138
3,3.0,12.344038074130854,-32.34649957449721,-44.58546641199965,1.6463690754328912,13.56045351473923
4,4.0,2.8489770315428373,-41.84156061708523,-44.92617449271372,0.3254798988113183,17.99546485260771
5,,,,,,21.591192122010092
6,,,,,,25.15119596225587
7,,,,,,29.034836515251257
8,,,,,,32.7335418038183
9,,,,,,36.47848090849243
10,,,,,,40.22342001316655
11,,,,,,44.10706056616195
