,env_delta,env_max,env_mean,env_std,time
0,16.2229646298,-22.8218326901,-31.4415596974,3.27975348423,0.0928798185941
1,22.4237857737,-16.6210115462,-27.4464265282,4.63253192841,8.75392290249
2,11.446237866,-27.5985594539,-36.9791907326,3.2863274199,10.2516099773
3,9.34758903011,-29.6972082898,-39.356333557,3.25660057993,11.1223582766
4,17.0495207393,-21.9952765806,-30.0568101826,2.55708780103,18.6107936508
5,13.1675232144,-25.8772741055,-32.1340646343,2.77091369405,34.4468027211
6,14.2531960949,-24.791601225,-32.6305637188,2.97291694483,44.5416780045
7,21.508341908,-17.5364554118,-26.9609682762,5.18342005174,51.3741496599
8,6.72312237034,-32.3216749495,-40.5874818088,2.84872893402,52.6280272109
9,24.7059008888,-14.3388964311,-26.6081320594,5.68456715701,55.9775056689
10,17.5839544262,-21.4608428937,-30.8332698649,2.9798643058,65.0274829932
11,11.1329558128,-27.911841507,-35.4970629015,2.8806971384,65.700861678
12,21.7070918848,-17.337705435,-31.1726599627,5.22530982721,72.521723356
13,26.4843186869,-12.560478633,-33.9192689678,6.30434042221,79.1161904762
14,23.4343094807,-15.6104878392,-34.7045221315,6.70900627447,89.4839002268
15,19.6662241342,-19.3785731857,-33.4100231456,6.05980411738,100.27537415
