,Unnamed: 0,env_delta,env_max,env_mean,env_std,time
0,0,5.08279645382,-38.1503915138,-40.1321398592,1.40689102215,2.37424036281
1,1,8.60179867098,-34.6313892967,-36.871013945,1.78379233094,8.12698412698
2,2,7.87365428715,-35.3595336805,-38.1283186311,1.4239325166,14.518276644
3,3,9.64843428627,-33.5847536814,-35.1540394962,1.16726496323,21.3797732426
4,4,7.9155278807,-35.3176600869,-37.2533725794,1.63244069905,27.8291156463
5,5,10.1029184036,-33.1302695641,-35.7568764857,1.78898433296,34.4293877551
6,6,11.0405394998,-32.1926484678,-34.8640557139,2.34697006901,41.0470748299
7,7,4.84054983533,-38.3926381323,-40.0638761958,1.21110877474,47.316462585
8,8,5.12599926241,-38.1071887052,-41.2826180672,2.22291552244,53.4000907029
9,9,8.69805162372,-34.5351363439,-36.6408959903,1.33595261875,61.3180952381
10,10,15.9395451702,-27.2936427974,-31.6854517072,2.94306102036,67.5874829932
11,11,6.35582595389,-36.8773620137,-38.8378154498,1.0504034053,74.4954195011
