,Unnamed: 0,env_delta,env_max,env_mean,env_std,time
0,0.0,3.8028095402,-38.8024186417,-42.4258864646,1.26798694181,0.0986848072562
1,1.0,9.68021118907,-32.9250169928,-40.7668729998,3.28617550215,14.2454421769
2,2.0,12.8431258747,-29.7621023072,-38.3435674549,4.19803703454,28.0613151927
4,5.0,19.7220918142,-22.8831363677,-31.966208492,3.3082625477,53.1446712018
5,6.0,16.0467464058,-26.558481776,-34.7762266803,2.74699511197,65.4280272109
8,9.0,18.6583535568,-23.9468746251,-33.2708648642,3.26891647612,74.686984127
10,11.0,23.1432506071,-19.4619775747,-32.6268504696,5.68199995583,85.7454875283
11,12.0,23.4474083527,-19.1578198292,-32.5754687301,8.00817849149,95.3179138322
12,13.0,29.3623626352,-13.2428655467,-40.7687415577,6.34900543277,103.322993197
13,14.0,32.0413182094,-10.5639099725,-38.8928965006,9.18020806749,112.233650794
14,15.0,31.0545774893,-11.5506506926,-29.9972836669,7.48691063033,122.462040816
15,,,,,,40.0138248848
