,Unnamed: 0,env_delta,env_max,env_mean,env_std,time
0,3.0,13.4282434047,-26.227370497,-35.8072858103,3.41362720771,35.375600907
1,4.0,11.024071836,-28.6315420657,-37.4341441943,2.85891374039,44.396553288
2,5.0,10.4600484761,-29.1955654256,-37.9124529102,3.96984590251,51.4670294785
3,6.0,14.1335212974,-25.5220926042,-37.5984349536,4.58050376294,59.5069387755
4,7.0,11.7253176483,-27.9302962534,-39.4969947027,4.00836019303,75.8015419501
5,,,,,,0.399141735547
6,,,,,,25.2257576866
7,,,,,,15.4068709921
8,,,,,,67.4549533075
9,,,,,,81.3450857045
