,env_delta,env_max,env_mean,env_std,time
0,16.5777099586,-22.8925359997,-32.1531350244,3.34673163692,0.24380952381
1,10.9437524243,-28.526493534,-38.0853936154,2.7348177853,1.99691609977
2,10.7607437667,-28.7095021916,-38.7604325877,3.43214171071,2.91990929705
3,20.4818088422,-18.9884371161,-28.4785399415,3.9143857695,19.173877551
4,13.3933364898,-26.0769094685,-36.4986729908,3.35098731804,20.8631292517
5,21.1779529275,-18.2922930308,-28.201263972,4.01400107144,33.3612698413
6,10.5865828491,-28.8836631093,-36.9058819631,2.54848065052,34.8879818594
7,18.8521087496,-20.6181372087,-29.2804501776,4.13576003271,45.633015873
8,11.2422292932,-28.2280166651,-37.1591378526,3.00725867453,47.0668480726
9,19.8330264569,-19.6372195015,-31.654595438,4.8410537718,58.827755102
10,22.5865741301,-16.8836718282,-35.8731771912,6.83643345436,69.4218594104
11,29.0315007909,-10.4387451675,-28.4900833841,5.25299573872,82.1812244898
12,11.6173167731,-27.8529291852,-37.7839077819,3.81187257788,83.9691609977
13,17.9778782859,-21.4923676724,-31.704868675,3.74334714151,93.2803628118
14,10.258834509,-29.2114114493,-37.7668554947,3.03936382395,94.8535147392
