,Unnamed: 0,env_delta,env_max,env_mean,env_std,time
0,0,7.0147283701857495,-34.76034291950768,-38.309375320926414,1.9844387297965649,1.6602267573696146
1,1,7.337379820831911,-34.437691468861516,-38.608418901491866,2.244758556356332,7.325895691609977
2,2,6.828743492285589,-34.94632779740784,-38.26360322236658,1.8137414378530552,13.334058956916099
3,3,6.6246160897612105,-35.15045519993222,-39.260073933439756,1.995978691315892,18.192834467120182
4,4,7.716254716743585,-34.058816572949844,-37.07092279837647,1.8952276508310384,23.649523809523807
5,5,5.7906748863807564,-35.98439640331267,-37.853324284791974,1.0165180193059289,28.7869387755102
6,6,9.697706092852627,-32.0773651968408,-33.992990195991226,1.2003225300317129,34.34231292517007
7,7,10.383834888631329,-31.391236401062102,-33.35719003575872,1.0828641473012492,39.27074829931973
8,8,11.521584334061568,-30.25348695563186,-34.66390801078086,1.457856840209515,43.95537414965986
9,9,5.179367697481902,-36.595703592211535,-39.162810415501006,1.5768782441086644,48.483265306122455
