,env_delta,env_max,env_mean,env_std,time
0,7.46521131083,-28.7031896084,-31.0075951434,2.73958265847,1.84598639456
1,10.8257913876,-25.3426095316,-27.268892664,1.24717991562,10.9656235828
2,7.65656224458,-28.5118386747,-31.3392649716,1.89178766343,20.6251247166
3,10.4009766999,-25.7674242194,-29.1000684741,1.90482761506,30.2672108844
4,12.8927496231,-23.2756512961,-26.9017850486,2.32316285049,39.6248526077
5,4.73534003375,-31.4330608855,-37.1864234057,4.22046841768,48.8025396825
6,16.0334884948,-20.1349124244,-25.0772504602,4.39785081623,56.4302947846
7,8.73002864872,-27.4383722705,-31.8149928034,4.09295280793,64.5050340136
8,11.1680424996,-25.0003584196,-28.1209488207,3.53711204317,72.3533786848
9,7.17600295523,-28.992397964,-33.9309650894,3.64119336906,81.6587755102
10,4.99438048623,-31.174020433,-35.3007444196,2.79139084452,89.7451247166
11,11.9932380201,-24.1751628991,-26.711936301,2.47086121824,98.2029931973
