,env_delta,env_max,env_mean,env_std,time
0,19.7709031711,-22.5530961912,-28.9932658699,4.57759922343,3.46557823129
1,10.9138844662,-31.4101148961,-34.133373745,2.387821963,14.6401814059
2,13.2143812532,-29.1096181092,-32.7562409181,2.72428455399,23.95138322
3,13.7376802662,-28.5863190962,-31.7717579411,2.86878529756,32.6240362812
4,16.7966688466,-25.5273305158,-29.8830081055,3.08752746998,39.8976870748
5,20.3117339091,-22.0122654533,-26.062621969,3.69066901365,47.4964172336
6,18.1463373898,-24.1776619726,-27.3725968518,3.58084717763,55.4376417234
7,16.0285654864,-26.2954338759,-30.5393921345,3.49146742896,63.0537868481
8,17.0375217565,-25.2864776058,-29.3977692291,3.21878341034,70.1010430839
9,16.9621656368,-25.3618337255,-29.3866124141,2.80293155232,77.5314285714
