,Unnamed: 0,env_delta,env_max,env_mean,env_std,time
0,0,16.040612426581685,-25.35756688825085,-28.785353009896248,2.4595667954685765,2.2407256235827666
1,1,16.73192012542511,-24.66625918940743,-27.97553661196746,2.9916459834035187,8.823582766439909
2,2,15.712786778295948,-25.68539253653659,-28.54771515928125,3.1879750376577283,15.301950113378684
3,3,17.285030156090947,-24.11314915874159,-28.16236144540489,3.4696245414417444,21.89641723356009
4,4,15.991195070527196,-25.406984244305345,-28.28705595143264,2.407734848012391,27.445986394557824
5,5,14.347824492596073,-27.050354822236468,-29.701535098965845,2.3785924316535376,34.08108843537415
6,6,18.114756729155072,-23.283422585677467,-27.24380616488468,3.3971557536420525,40.46657596371882
7,7,18.043870346839192,-23.35430896799335,-26.96153719317911,3.143927412036839,46.10902494331065
8,8,15.893095311562536,-25.505084003270007,-29.482273083545675,3.2392240252561435,53.08081632653061
9,9,20.090027577242534,-21.308151737590002,-25.240292258144258,3.4156249802220007,58.009251700680274
10,10,17.75359403732904,-23.6445852775035,-27.975398264630986,2.9481166276254367,63.442721088435384
11,11,16.018657995377602,-25.37952131945494,-28.25173238943345,2.7052571567692048,69.2302947845805
