,Unnamed: 0,env_delta,env_max,env_mean,env_std,time
0,0,12.8100601638,-26.0172334426,-27.967470063,0.995153062196,2.91410430839
1,1,10.3568124539,-28.4704811524,-29.7350348611,0.946840177038,7.85995464853
2,2,11.0579581589,-27.7693354475,-28.5660522243,0.839795509778,12.8928798186
3,3,10.7675714264,-28.0597221799,-29.0833557542,0.92034735566,17.7632653061
4,4,11.1079194494,-27.7193741569,-28.9787465586,1.02841332372,22.8426303855
5,5,11.6641687604,-27.1631248459,-28.679233476,1.60895779471,27.7594557823
6,6,12.4694211517,-26.3578724547,-27.0336146942,0.792763328296,32.6762811791
7,7,12.6675982557,-26.1596953506,-27.3460382101,1.13564365027,37.7556462585
8,8,11.5515728984,-27.2757207079,-28.7462130874,1.13060433266,42.6550566893
9,9,8.92404000857,-29.9032535978,-31.0940066906,0.565359397537,47.6299319728
