,Unnamed: 0,env_delta,env_max,env_mean,env_std,time
0,0,7.027830182061307,-33.01960515006097,-35.233982416810406,0.9337771174083112,3.0708390022675736
1,1,6.701127770655049,-33.346307561467235,-35.355319972084644,0.9057691854753296,12.353015873015876
2,2,6.86465153145172,-33.182783800670556,-34.91498275466195,0.6581862774192869,21.646802721088434
3,3,8.47482219454077,-31.572613137581506,-33.08351612371856,0.9905897481095849,31.24825396825397
4,4,8.706419147474605,-31.34101618464767,-32.66866942832116,0.8798860607168002,40.72199546485261
5,5,7.8498043906705925,-32.197630941451685,-33.34538549150912,0.37548052498046297,50.31764172335601
6,6,5.02270967981557,-35.02472565230671,-35.90742239787958,0.5537601818348916,59.81460317460318
7,7,7.140723584682982,-32.906711747439296,-33.813442592411626,0.7408877425869662,69.0445351473923
8,8,7.550818966433512,-32.496616365688766,-33.588260966607535,0.6641588393907042,78.44281179138322
9,9,8.250577233294141,-31.796858098828128,-32.82480757515488,0.5184818339858954,87.92816326530613
10,10,10.564121845220571,-29.48331348690171,-31.03513319620949,0.6408069089037814,97.12907029478458
11,11,7.640161917975624,-32.407273414146644,-33.45953941444732,0.7804851940147058,106.52734693877552
