,Unnamed: 0,env_delta,env_max,env_mean,env_std,time
0,0,10.596809445443103,-23.211124841768907,-24.847202491427776,0.7497031892019516,2.681904761904762
1,1,10.782694503071307,-23.025239784140712,-24.171564306656517,0.6262949193285828,11.563537414965987
2,2,11.255587327316904,-22.55234695989511,-23.85629278544208,0.614561617832764,20.55546485260771
3,3,12.092292214180539,-21.71564207303148,-22.997062770248927,0.4883341756651486,29.309387755102037
4,4,13.722547823981305,-20.08538646323071,-21.233698477160168,0.5558975330931711,38.64380952380952
5,5,15.321385315672845,-18.486548971539168,-19.575529022554182,0.4822191105392112,48.30331065759637
6,6,12.457067533304885,-21.35086675390713,-22.556533320680607,0.5534392214817062,57.76544217687075
7,7,15.970959911396056,-17.836974375815963,-18.506993407817923,0.3119665753665725,67.60489795918367
8,8,15.383522751841886,-18.42441153537013,-20.363690877096854,0.9036383689371964,77.16571428571429
9,9,13.419886567805474,-20.388047719406536,-23.97262063709337,1.9313161812524835,86.598820861678
10,10,12.76721047649365,-21.04072381071836,-23.155497216376766,1.1286950121572021,96.16544217687077
11,11,16.585956850362283,-17.22197743684973,-18.084187723992144,0.4499141605114617,105.59274376417234
