,Unnamed: 0,Unnamed: 0.1,env_delta,env_max,env_mean,env_std,time
0,0,0,26.8542728541,-16.0808673003,-35.6943483774,6.53229810318,1.49768707483
1,1,1,21.5816106273,-21.3535295272,-36.0902649274,4.81805999581,5.2419047619
2,2,2,21.7401064185,-21.1950337359,-35.5627104384,5.7580437196,10.1761451247
3,3,3,17.7355265337,-25.1996136208,-38.6228628045,4.82551868369,15.8476190476
4,4,4,20.3565220856,-22.5786180688,-39.586827441,5.36010846953,20.9792290249
5,6,6,23.0417722331,-19.8933679213,-36.3806984446,5.53661259954,24.9440362812
6,7,7,20.6436762773,-22.2914638772,-39.0743906242,5.42214642637,29.7912018141
7,8,8,24.7724453467,-18.1626948078,-39.8203221743,5.79408769263,33.5470294785
8,9,9,21.8447595116,-21.0903806429,-42.4807213883,3.85119528275,37.3086621315
9,10,10,23.7550299737,-19.1801101807,-40.1715034297,6.24904839556,40.5014058957
10,11,11,18.0735073957,-24.8616327588,-42.2014723446,4.59272421551,45.0873469388
11,12,12,22.413317249,-20.5218229054,-40.1288262632,5.99267070909,48.7154648526
