,env_delta,env_max,env_mean,env_std,time
0,3.09272049575,-26.7582988404,-27.0229016817,0.265115700623,0.801088435374
1,3.13686797098,-26.7141513652,-27.4733005533,0.508853822353,3.39011337868
2,8.86998156381,-20.9810377724,-21.3804229873,0.328872915048,6.04299319728
3,6.24749115856,-23.6035281776,-24.4017846064,0.408234383188,8.539138322
4,5.17019949324,-24.6808198429,-24.9667328344,0.190015687667,11.1049433107
5,5.32510272295,-24.5259166132,-25.4651451188,0.380535249721,13.5198185941
6,6.02595204779,-23.8250672884,-24.1525272831,0.23935108036,16.1088435374
7,7.53644372808,-22.3145756081,-23.0991968602,0.471185945236,18.5875736961
8,8.74802254001,-21.1029967962,-21.479721227,0.289435382899,21.0895238095
9,7.76775033734,-22.0832689988,-22.7612792669,0.439042258489,23.6030839002
10,11.6811643726,-18.1698549635,-19.6702328574,0.731831217094,26.0992290249
11,10.9793121895,-18.8717071467,-19.3776379109,0.186543049376,28.5315192744
