,Unnamed: 0,env_delta,env_max,env_mean,env_std,time
0,0,6.36480369306,-31.0124389202,-32.1963478262,0.354130065727,3.2043537415
1,1,7.9103617647,-29.4668808485,-31.0342484901,1.43675346204,12.6200453515
2,2,8.01143487238,-29.3658077409,-30.8808855232,1.27298928183,22.2737414966
3,3,9.64190226917,-27.7353403441,-29.456511826,1.00827963628,32.7749659864
4,4,12.7872512687,-24.5899913446,-26.8032982854,1.82448378616,41.87138322
5,5,12.464712615,-24.9125299982,-26.5944838491,1.60897269141,51.2232199546
6,6,9.86085975225,-27.516382861,-29.5157753822,1.86333753772,61.4980498866
7,7,12.0363367112,-25.340905902,-27.7328411833,1.87000054601,73.2473469388
8,8,13.6741358534,-23.7031067598,-24.9364299478,1.3248644149,83.139047619
9,9,15.0005207553,-22.3767218579,-23.0887099587,0.247286923496,92.5779591837
10,10,13.5898226184,-23.7874199949,-24.9000057537,1.12160101031,102.510294785
11,11,16.2936073498,-21.0836352635,-22.1308971704,0.929855521477,111.769251701
