,Unnamed: 0,Unnamed: 0.1,env_delta,env_max,env_mean,env_std,time
0,0,0,15.7036178803,-23.1873367793,-31.8891512469,5.05209481855,1.35836734694
1,1,1,12.8405611385,-26.0503935211,-33.5871358438,4.02329651914,10.4721995465
2,2,2,11.2773853342,-27.6135693255,-33.5334753107,2.85582588935,15.4354648526
3,3,3,9.1307132564,-29.7602414032,-35.2699735763,2.70183379115,20.5206349206
4,4,4,9.81915016316,-29.0718044965,-34.575484949,2.65316593245,26.3082086168
5,5,5,16.4936684263,-22.3972862334,-27.1389233854,2.04354582567,30.8360997732
6,6,6,19.7005435408,-19.1904111189,-22.9045592367,2.27430629662,35.358185941
7,7,7,15.6664444835,-23.2245101761,-27.6238930739,2.55911066193,40.3040362812
8,8,8,14.9068966048,-23.9840580548,-26.9976919576,1.85422941319,45.7200907029
9,9,9,9.52063122781,-29.3703234318,-33.6398602052,2.50026045731,51.0897052154
