,Unnamed: 0,env_delta,env_max,env_mean,env_std,time
0,0.0,3.66930780162,-39.8996233908,-42.0924664723,1.12562310084,3.11727891156
1,1.0,5.17332669904,-38.3956044933,-40.9322595139,1.86099096065,22.6162358277
2,2.0,3.58854286611,-39.9803883263,-42.3160191945,1.73331904479,31.7823129252
3,3.0,2.92184566533,-40.6470855271,-42.0452474742,0.784507445662,41.9410430839
4,4.0,3.31783864936,-40.251092543,-42.921991832,1.38972349944,52.02430839
5,5.0,4.95389319363,-38.6150379988,-42.0856512293,1.36033172421,64.0
6,6.0,3.93560804415,-39.6333231482,-43.3256333287,1.49662665177,122.340136054
7,,,,,,12.9856061899
8,,,,,,73.7396922927
9,,,,,,85.3339835337
10,,,,,,97.2761035119
11,,,,,,108.986337665
