,Unnamed: 0,Unnamed: 0.1,env_delta,env_max,env_mean,env_std,time
0,0,0.0,5.60444269629,-37.8305304449,-39.7498872918,1.21966043932,2.14784580499
1,1,1.0,3.09908854879,-40.3358845924,-41.8538478883,0.60331124887,7.71482993197
2,2,2.0,3.35431363822,-40.080659503,-41.7318322213,0.625375720033,36.3914739229
3,3,3.0,7.23616011829,-36.1988130229,-37.5492517546,0.916221187314,41.7959183673
4,4,4.0,7.35107648323,-36.083896658,-37.9863364643,1.74357098966,48.1291609977
5,5,5.0,4.87654497494,-38.5584281663,-40.1820669133,1.14342067011,54.4682086168
6,6,6.0,2.56884577476,-40.8661273664,-42.2229359707,0.605406076336,59.5243537415
7,7,,,,,,13.3415421127
8,8,,,,,,19.1633059436
9,9,,,,,,30.3823299929
10,10,,,,,,25.2882866408
11,11,,,,,,63.7361852746
